ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-20,SHORT,3109.88,+2.2R,2026-01-20
TR-10001,2026-01-12,LONG,3152.55,-1.0R,2026-01-12
TR-10002,2025-12-14,SHORT,3084.84,-1.0R,2025-12-15
TR-10003,2025-12-03,LONG,3086.12,+2.2R,2025-12-04
TR-10004,2025-12-01,SHORT,2840.21,+2.2R,2025-12-01
TR-10005,2025-10-26,LONG,4075.29,+2.2R,2025-10-27
TR-10006,2025-10-01,LONG,4327.23,+2.2R,2025-10-02
TR-10007,2025-08-29,SHORT,4346.48,-1.0R,2025-08-31
TR-10008,2025-08-22,LONG,4833.00,-1.0R,2025-08-23
TR-10009,2025-08-19,SHORT,4192.14,-1.0R,2025-08-20
TR-10010,2025-08-01,SHORT,3518.40,-1.0R,2025-08-04
TR-10011,2025-06-10,LONG,2688.88,+2.2R,2025-06-10
TR-10012,2025-06-05,SHORT,2414.01,-1.0R,2025-06-06
TR-10013,2025-04-21,LONG,1623.30,-1.0R,2025-04-21
TR-10014,2025-04-21,SHORT,1573.70,-1.0R,2025-04-22
TR-10015,2025-03-28,SHORT,1900.48,+2.2R,2025-03-29
TR-10016,2025-02-24,SHORT,2513.52,+2.2R,2025-02-25
TR-10017,2025-02-01,SHORT,3117.54,+2.2R,2025-02-02
TR-10018,2025-01-31,LONG,3339.08,-1.0R,2025-02-01
TR-10019,2025-01-27,SHORT,3183.60,+2.2R,2025-01-27
TR-10020,2024-12-18,SHORT,3626.80,+2.2R,2024-12-19
TR-10021,2024-11-06,LONG,2687.25,+2.2R,2024-11-07
TR-10022,2024-11-01,SHORT,2500.03,+2.2R,2024-11-04
TR-10023,2024-10-29,LONG,2648.52,-1.0R,2024-10-31
TR-10024,2024-10-01,SHORT,2447.79,+2.2R,2024-10-03
TR-10025,2024-09-16,SHORT,2310.69,-1.0R,2024-09-17
TR-10026,2024-09-13,LONG,2439.19,-1.0R,2024-09-14
TR-10027,2024-08-27,SHORT,2457.33,-1.0R,2024-08-28
TR-10028,2024-08-23,LONG,2671.09,+2.2R,2024-08-23
TR-10029,2024-07-25,SHORT,3171.84,-1.0R,2024-07-26
TR-10030,2024-07-03,SHORT,3360.33,+2.2R,2024-07-03
TR-10031,2024-07-01,LONG,3471.47,-1.0R,2024-07-01
TR-10032,2024-05-07,SHORT,3063.39,+2.2R,2024-05-08
TR-10033,2024-04-30,SHORT,2994.12,+2.2R,2024-05-01
TR-10034,2024-04-12,SHORT,3237.43,+2.2R,2024-04-13
TR-10035,2024-04-08,LONG,3633.08,-1.0R,2024-04-09
TR-10036,2024-04-02,SHORT,3366.08,+2.2R,2024-04-02
TR-10037,2024-02-06,LONG,2316.85,+2.2R,2024-02-06
TR-10038,2024-02-01,SHORT,2257.21,-1.0R,2024-02-01
TR-10039,2024-01-31,LONG,2329.42,-1.0R,2024-01-31
