ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-18,SHORT,142.54,+2.2R,2026-01-18
TR-10001,2026-01-11,LONG,139.21,-1.0R,2026-01-11
TR-10002,2026-01-08,LONG,139.61,-1.0R,2026-01-09
TR-10003,2026-01-07,SHORT,135.26,-1.0R,2026-01-07
TR-10004,2026-01-01,SHORT,124.71,-1.0R,2026-01-01
TR-10005,2025-12-30,LONG,125.67,-1.0R,2025-12-30
TR-10006,2025-12-21,SHORT,124.42,-1.0R,2025-12-21
TR-10007,2025-12-19,LONG,126.25,-1.0R,2025-12-21
TR-10008,2025-12-09,LONG,143.67,-1.0R,2025-12-09
TR-10009,2025-12-02,LONG,139.48,+2.2R,2025-12-03
TR-10010,2025-11-28,SHORT,137.18,-1.0R,2025-11-30
TR-10011,2025-11-23,LONG,130.75,+2.2R,2025-11-24
TR-10012,2025-11-20,SHORT,132.57,-1.0R,2025-11-20
TR-10013,2025-11-19,SHORT,133.39,-1.0R,2025-11-19
TR-10014,2025-11-11,SHORT,160.89,+2.2R,2025-11-11
TR-10015,2025-11-09,LONG,162.53,+2.2R,2025-11-10
TR-10016,2025-10-23,LONG,190.37,+2.2R,2025-10-24
TR-10017,2025-10-21,LONG,192.60,-1.0R,2025-10-21
TR-10018,2025-10-15,SHORT,194.20,+2.2R,2025-10-16
TR-10019,2025-10-07,SHORT,227.93,+2.2R,2025-10-07
TR-10020,2025-10-05,LONG,231.12,+2.2R,2025-10-05
TR-10021,2025-09-28,LONG,205.05,+2.2R,2025-09-28
TR-10022,2025-09-15,SHORT,232.07,-1.0R,2025-09-15
TR-10023,2025-09-07,LONG,204.68,+2.2R,2025-09-07
TR-10024,2025-08-27,LONG,205.17,-1.0R,2025-08-27
TR-10025,2025-08-22,LONG,193.47,+2.2R,2025-08-22
TR-10026,2025-08-18,SHORT,183.95,+2.2R,2025-08-19
TR-10027,2025-08-17,LONG,191.88,+2.2R,2025-08-17
TR-10028,2025-08-12,LONG,188.18,+2.2R,2025-08-12
TR-10029,2025-08-11,SHORT,178.24,-1.0R,2025-08-12
TR-10030,2025-08-06,LONG,167.74,+2.2R,2025-08-07
TR-10031,2025-07-26,LONG,188.98,-1.0R,2025-07-26
TR-10032,2025-07-23,SHORT,188.70,+2.2R,2025-07-24
TR-10033,2025-07-15,SHORT,160.58,-1.0R,2025-07-15
TR-10034,2025-07-08,LONG,152.41,-1.0R,2025-07-08
TR-10035,2025-07-06,LONG,151.53,+2.2R,2025-07-06
TR-10036,2025-06-26,SHORT,141.71,-1.0R,2025-06-26
TR-10037,2025-06-23,LONG,140.59,+2.2R,2025-06-23
TR-10038,2025-06-20,SHORT,143.99,+2.2R,2025-06-20
TR-10039,2025-06-15,LONG,151.95,-1.0R,2025-06-15
TR-10040,2025-06-12,SHORT,159.46,+2.2R,2025-06-12
TR-10041,2025-06-08,LONG,153.16,-1.0R,2025-06-09
TR-10042,2025-06-03,LONG,159.85,-1.0R,2025-06-03
TR-10043,2025-05-13,LONG,174.35,+2.2R,2025-05-13
TR-10044,2025-04-28,LONG,151.59,-1.0R,2025-04-28
TR-10045,2025-04-02,LONG,130.43,-1.0R,2025-04-02
TR-10046,2025-04-02,SHORT,117.42,-1.0R,2025-04-04
TR-10047,2025-04-01,LONG,129.38,-1.0R,2025-04-01
