ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-26,LONG,1.92,-1.0R,2026-01-26
TR-10001,2026-01-22,SHORT,1.91,-1.0R,2026-01-22
TR-10002,2026-01-15,SHORT,2.10,+2.2R,2026-01-15
TR-10003,2026-01-13,LONG,2.11,+2.2R,2026-01-13
TR-10004,2025-12-30,LONG,1.87,-1.0R,2025-12-31
TR-10005,2025-12-10,SHORT,2.06,-1.0R,2025-12-10
TR-10006,2025-12-09,LONG,2.08,-1.0R,2025-12-09
TR-10007,2025-12-09,SHORT,2.06,-1.0R,2025-12-09
TR-10008,2025-12-09,LONG,2.12,+2.2R,2025-12-09
TR-10009,2025-12-04,SHORT,2.10,+2.2R,2025-12-05
TR-10010,2025-11-29,LONG,2.22,-1.0R,2025-11-29
TR-10011,2025-11-23,LONG,2.06,-1.0R,2025-11-23
TR-10012,2025-11-13,LONG,2.49,-1.0R,2025-11-13
TR-10013,2025-11-13,SHORT,2.32,+2.2R,2025-11-15
TR-10014,2025-11-09,SHORT,2.25,-1.0R,2025-11-09
TR-10015,2025-11-09,LONG,2.31,+2.2R,2025-11-09
TR-10016,2025-11-07,LONG,2.36,-1.0R,2025-11-08
TR-10017,2025-11-06,SHORT,2.23,+2.2R,2025-11-07
TR-10018,2025-11-02,SHORT,2.49,-1.0R,2025-11-02
TR-10019,2025-10-29,SHORT,2.59,+2.2R,2025-10-30
TR-10020,2025-10-24,LONG,2.44,+2.2R,2025-10-24
TR-10021,2025-10-07,SHORT,2.97,+2.2R,2025-10-07
TR-10022,2025-10-06,LONG,3.03,-1.0R,2025-10-06
TR-10023,2025-10-05,LONG,3.06,-1.0R,2025-10-05
TR-10024,2025-10-05,SHORT,2.95,-1.0R,2025-10-05
TR-10025,2025-10-04,SHORT,2.95,-1.0R,2025-10-05
TR-10026,2025-09-28,LONG,2.80,-1.0R,2025-09-28
TR-10027,2025-09-24,LONG,2.94,+2.2R,2025-09-24
TR-10028,2025-09-17,SHORT,3.02,-1.0R,2025-09-17
TR-10029,2025-09-14,SHORT,3.04,-1.0R,2025-09-15
TR-10030,2025-09-07,LONG,2.83,+2.2R,2025-09-07
TR-10031,2025-09-02,LONG,2.84,-1.0R,2025-09-02
TR-10032,2025-08-26,LONG,3.03,-1.0R,2025-08-27
TR-10033,2025-08-22,LONG,3.07,-1.0R,2025-08-23
TR-10034,2025-08-17,LONG,3.13,-1.0R,2025-08-17
TR-10035,2025-08-17,SHORT,3.09,+2.2R,2025-08-18
TR-10036,2025-08-14,SHORT,3.10,+2.2R,2025-08-18
TR-10037,2025-08-12,LONG,3.29,-1.0R,2025-08-13
TR-10038,2025-08-11,LONG,3.25,+2.2R,2025-08-11
TR-10039,2025-08-04,LONG,3.00,+2.2R,2025-08-04
TR-10040,2025-07-31,SHORT,3.08,-1.0R,2025-07-31
